feature_code,date_code,measurement,units,value,life_satisfaction_level,sex,hb_name,longitude,latitude
S92000003,2016-2019,Percent,Percent Of Adults,35,Above the mode (9 to 10-Extremely satisfied),All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,35,Above the mode (9 to 10-Extremely satisfied),Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,31,Mode (8),All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,31,Mode (8),Male,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,34,Above the mode (9 to 10-Extremely satisfied),Male,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,35,Below the mode (0-Extremely dissatisfied to 7),Male,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,31,Mode (8),Female,Scotland,-4.2026,56.4907
S08000015,2016-2019,Percent,Percent Of Adults,36,Below the mode (0-Extremely dissatisfied to 7),Male,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,25,Mode (8),All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,40,Above the mode (9 to 10-Extremely satisfied),Male,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,36,Below the mode (0-Extremely dissatisfied to 7),All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,39,Above the mode (9 to 10-Extremely satisfied),All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,38,Above the mode (9 to 10-Extremely satisfied),Female,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,24,Mode (8),Male,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,26,Mode (8),Female,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,36,Below the mode (0-Extremely dissatisfied to 7),Female,Ayrshire and Arran,-4.668,55.365
S08000016,2016-2019,Percent,Percent Of Adults,40,Above the mode (9 to 10-Extremely satisfied),Female,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,36,Below the mode (0-Extremely dissatisfied to 7),Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),All,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,27,Mode (8),Female,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),Female,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,39,Above the mode (9 to 10-Extremely satisfied),All,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,26,Mode (8),Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,27,Mode (8),All,Borders,-2.7861,55.5486
S08000017,2016-2019,Percent,Percent Of Adults,32,Below the mode (0-Extremely dissatisfied to 7),Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,41,Above the mode (9 to 10-Extremely satisfied),All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,25,Mode (8),Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,40,Above the mode (9 to 10-Extremely satisfied),Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,43,Above the mode (9 to 10-Extremely satisfied),Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,26,Mode (8),Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,26,Mode (8),All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),Male,Dumfries and Galloway,-3.6053,55.0701
S08000019,2016-2019,Percent,Percent Of Adults,31,Mode (8),Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,32,Below the mode (0-Extremely dissatisfied to 7),Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,30,Mode (8),All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,29,Mode (8),Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),All,Forth Valley,-3.8477,56.0254
S08000020,2016-2019,Percent,Percent Of Adults,30,Below the mode (0-Extremely dissatisfied to 7),Female,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,38,Above the mode (9 to 10-Extremely satisfied),Female,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,32,Below the mode (0-Extremely dissatisfied to 7),All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,32,Mode (8),All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,32,Mode (8),Female,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,36,Above the mode (9 to 10-Extremely satisfied),Male,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),Male,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,31,Mode (8),Male,Grampian,-4,56.9166667
S08000022,2016-2019,Percent,Percent Of Adults,31,Mode (8),Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,42,Above the mode (9 to 10-Extremely satisfied),All,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,28,Below the mode (0-Extremely dissatisfied to 7),Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,27,Below the mode (0-Extremely dissatisfied to 7),All,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,32,Mode (8),Female,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,41,Above the mode (9 to 10-Extremely satisfied),Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,26,Below the mode (0-Extremely dissatisfied to 7),Female,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,43,Above the mode (9 to 10-Extremely satisfied),Female,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,31,Mode (8),All,Highland,-4.2264,57.4596
S08000024,2016-2019,Percent,Percent Of Adults,35,Mode (8),Female,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,32,Above the mode (9 to 10-Extremely satisfied),Male,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),All,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,34,Mode (8),Male,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,34,Mode (8),All,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,33,Above the mode (9 to 10-Extremely satisfied),Female,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),Female,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),Male,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,32,Above the mode (9 to 10-Extremely satisfied),All,Lothian,-3.2121,55.9484
S08000025,2016-2019,Percent,Percent Of Adults,24,Below the mode (0-Extremely dissatisfied to 7),Male,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,32,Mode (8),All,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,43,Above the mode (9 to 10-Extremely satisfied),Female,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,31,Mode (8),Male,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,25,Below the mode (0-Extremely dissatisfied to 7),Female,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,44,Above the mode (9 to 10-Extremely satisfied),All,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,45,Above the mode (9 to 10-Extremely satisfied),Male,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,24,Below the mode (0-Extremely dissatisfied to 7),All,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,33,Mode (8),Female,Orkney,-2.9605,58.9809
S08000026,2016-2019,Percent,Percent Of Adults,34,Mode (8),Male,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,25,Below the mode (0-Extremely dissatisfied to 7),All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,38,Above the mode (9 to 10-Extremely satisfied),All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,39,Above the mode (9 to 10-Extremely satisfied),Female,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,21,Below the mode (0-Extremely dissatisfied to 7),Female,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,37,Mode (8),All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,29,Below the mode (0-Extremely dissatisfied to 7),Male,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,40,Mode (8),Female,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),Male,Shetland,-1.2659,60.5297
S08000028,2016-2019,Percent,Percent Of Adults,44,Above the mode (9 to 10-Extremely satisfied),All,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,34,Mode (8),All,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,32,Mode (8),Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,36,Mode (8),Male,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,42,Above the mode (9 to 10-Extremely satisfied),Male,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,22,Below the mode (0-Extremely dissatisfied to 7),All,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,22,Below the mode (0-Extremely dissatisfied to 7),Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,46,Above the mode (9 to 10-Extremely satisfied),Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,23,Below the mode (0-Extremely dissatisfied to 7),Male,Western Isles,-7.0194,57.7599
S08000029,2016-2019,Percent,Percent Of Adults,28,Mode (8),Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,35,Below the mode (0-Extremely dissatisfied to 7),Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,29,Mode (8),All,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,32,Below the mode (0-Extremely dissatisfied to 7),Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,40,Above the mode (9 to 10-Extremely satisfied),Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,36,Above the mode (9 to 10-Extremely satisfied),Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),All,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,29,Mode (8),Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,38,Above the mode (9 to 10-Extremely satisfied),All,Fife,-3.1495,56.2082
S08000030,2016-2019,Percent,Percent Of Adults,31,Below the mode (0-Extremely dissatisfied to 7),Male,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,34,Mode (8),All,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,30,Below the mode (0-Extremely dissatisfied to 7),All,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,29,Below the mode (0-Extremely dissatisfied to 7),Female,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,32,Mode (8),Female,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,36,Above the mode (9 to 10-Extremely satisfied),All,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,33,Above the mode (9 to 10-Extremely satisfied),Male,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,36,Mode (8),Male,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,39,Above the mode (9 to 10-Extremely satisfied),Female,Tayside,-3.0331,56.4643
S08000031,2016-2019,Percent,Percent Of Adults,38,Below the mode (0-Extremely dissatisfied to 7),Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,28,Mode (8),Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,30,Mode (8),All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,32,Above the mode (9 to 10-Extremely satisfied),Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,39,Below the mode (0-Extremely dissatisfied to 7),All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,31,Above the mode (9 to 10-Extremely satisfied),All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,32,Mode (8),Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,40,Below the mode (0-Extremely dissatisfied to 7),Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,31,Above the mode (9 to 10-Extremely satisfied),Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000032,2016-2019,Percent,Percent Of Adults,26,Above the mode (9 to 10-Extremely satisfied),Male,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,32,Mode (8),All,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,43,Below the mode (0-Extremely dissatisfied to 7),Male,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,29,Above the mode (9 to 10-Extremely satisfied),All,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,32,Mode (8),Female,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,40,Below the mode (0-Extremely dissatisfied to 7),All,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,37,Below the mode (0-Extremely dissatisfied to 7),Female,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,31,Above the mode (9 to 10-Extremely satisfied),Female,Lanarkshire,-3.782,55.6736
S08000032,2016-2019,Percent,Percent Of Adults,31,Mode (8),Male,Lanarkshire,-3.782,55.6736
