FeatureCode,DateCode,Measurement,Units,Value,Gender
S08000020,2017/2018,Count,P1 Reviews,2929,Male
S08000020,2016/2017,Count,P1 Reviews,2973,Male
S08000020,2018/2019,Count,P1 Reviews,2470,Male
S08000020,2014/2015,Count,P1 Reviews,2995,Male
S08000020,2013/2014,Count,P1 Reviews,2981,Male
S08000020,2015/2016,Count,P1 Reviews,2929,Male
S08000025,2013/2014,Count,P1 Reviews,123,Male
S08000025,2012/2013,Count,P1 Reviews,95,Male
S08000025,2014/2015,Count,P1 Reviews,115,Male
S08000025,2010/2011,Count,P1 Reviews,87,Male
S08000025,2011/2012,Count,P1 Reviews,115,Male
S08000032,2016/2017,Count,P1 Reviews,3604,Male
S08000032,2015/2016,Count,P1 Reviews,3526,Male
S08000032,2017/2018,Count,P1 Reviews,3337,Male
S08000032,2013/2014,Count,P1 Reviews,3653,Male
S08000032,2014/2015,Count,P1 Reviews,3556,Male
S08000020,2011/2012,Count,P1 Reviews,2628,Male
S08000020,2010/2011,Count,P1 Reviews,2694,Male
S08000020,2012/2013,Count,P1 Reviews,2861,Male
S08000032,2018/2019,Count,P1 Reviews,3326,Male
S08000020,2009/2010,Count,P1 Reviews,2544,Male
S08000024,2010/2011,Count,P1 Reviews,4009,Male
S08000024,2009/2010,Count,P1 Reviews,3734,Male
S08000024,2011/2012,Count,P1 Reviews,4118,Male
S08000024,2007/2008,Count,P1 Reviews,2627,Male
S08000024,2008/2009,Count,P1 Reviews,3692,Male
S08000024,2015/2016,Count,P1 Reviews,4393,Male
S08000024,2014/2015,Count,P1 Reviews,4404,Male
S08000024,2016/2017,Count,P1 Reviews,4210,Male
S08000024,2012/2013,Count,P1 Reviews,4342,Male
S08000024,2013/2014,Count,P1 Reviews,4489,Male
S08000025,2018/2019,Count,P1 Reviews,112,Male
S08000025,2017/2018,Count,P1 Reviews,105,Male
S08000024,2001/2002,Count,P1 Reviews,936,Male
S08000025,2015/2016,Count,P1 Reviews,92,Male
S08000025,2016/2017,Count,P1 Reviews,94,Male
S08000024,2005/2006,Count,P1 Reviews,3525,Male
S08000024,2004/2005,Count,P1 Reviews,3481,Male
S08000024,2006/2007,Count,P1 Reviews,2556,Male
S08000024,2002/2003,Count,P1 Reviews,865,Male
S08000024,2003/2004,Count,P1 Reviews,836,Male
S08000031,2015/2016,Count,P1 Reviews,5504,Male
S08000031,2014/2015,Count,P1 Reviews,5936,Male
S08000031,2016/2017,Count,P1 Reviews,5334,Male
S08000031,2012/2013,Count,P1 Reviews,5771,Male
S08000031,2011/2012,Count,P1 Reviews,5609,Male
S08000031,2013/2014,Count,P1 Reviews,5829,Male
S08000022,2009/2010,Count,P1 Reviews,1560,Male
S08000022,2008/2009,Count,P1 Reviews,1422,Male
S08000022,2010/2011,Count,P1 Reviews,1492,Male
S08000031,2017/2018,Count,P1 Reviews,5765,Male
S08000031,2018/2019,Count,P1 Reviews,4303,Male
S08000029,2017/2018,Count,P1 Reviews,1907,Male
S08000029,2016/2017,Count,P1 Reviews,1947,Male
S08000029,2018/2019,Count,P1 Reviews,1357,Male
S08000029,2014/2015,Count,P1 Reviews,2095,Male
S08000029,2015/2016,Count,P1 Reviews,2078,Male
S08000031,2009/2010,Count,P1 Reviews,3751,Male
S08000031,2008/2009,Count,P1 Reviews,841,Male
S08000031,2010/2011,Count,P1 Reviews,913,Male
S08000031,2006/2007,Count,P1 Reviews,804,Male
S08000031,2007/2008,Count,P1 Reviews,787,Male
S08000032,2006/2007,Count,P1 Reviews,2844,Male
S08000032,2005/2006,Count,P1 Reviews,2921,Male
S08000032,2007/2008,Count,P1 Reviews,2885,Male
S08000032,2003/2004,Count,P1 Reviews,3232,Male
S08000032,2004/2005,Count,P1 Reviews,3111,Male
S08000032,2011/2012,Count,P1 Reviews,3632,Male
S08000032,2010/2011,Count,P1 Reviews,2940,Male
S08000032,2012/2013,Count,P1 Reviews,3582,Male
S08000032,2008/2009,Count,P1 Reviews,3137,Male
S08000032,2009/2010,Count,P1 Reviews,3099,Male
S08000022,2014/2015,Count,P1 Reviews,1577,Male
S08000022,2013/2014,Count,P1 Reviews,1635,Male
S08000022,2015/2016,Count,P1 Reviews,1591,Male
S08000022,2011/2012,Count,P1 Reviews,1543,Male
S08000022,2012/2013,Count,P1 Reviews,1647,Male
S08000032,2001/2002,Count,P1 Reviews,2933,Male
S08000022,2018/2019,Count,P1 Reviews,1340,Male
S08000032,2002/2003,Count,P1 Reviews,3261,Male
S08000022,2016/2017,Count,P1 Reviews,1432,Male
S08000022,2017/2018,Count,P1 Reviews,1584,Male
S08000017,2009/2010,Count,P1 Reviews,731,Male
S08000017,2008/2009,Count,P1 Reviews,696,Male
S08000017,2010/2011,Count,P1 Reviews,723,Male
S08000017,2006/2007,Count,P1 Reviews,649,Male
S08000017,2005/2006,Count,P1 Reviews,627,Male
S08000017,2007/2008,Count,P1 Reviews,687,Male
S08000017,2014/2015,Count,P1 Reviews,741,Male
S08000017,2013/2014,Count,P1 Reviews,636,Male
S08000017,2015/2016,Count,P1 Reviews,693,Male
S08000017,2011/2012,Count,P1 Reviews,758,Male
S08000017,2012/2013,Count,P1 Reviews,711,Male
S08000028,2013/2014,Count,P1 Reviews,142,Male
S08000028,2012/2013,Count,P1 Reviews,139,Male
S08000028,2014/2015,Count,P1 Reviews,112,Male
S08000028,2010/2011,Count,P1 Reviews,118,Male
S08000028,2011/2012,Count,P1 Reviews,138,Male
S08000028,2018/2019,Count,P1 Reviews,108,Male
S08000028,2017/2018,Count,P1 Reviews,128,Male
S08000017,2004/2005,Count,P1 Reviews,545,Male
S08000028,2015/2016,Count,P1 Reviews,149,Male
S08000028,2016/2017,Count,P1 Reviews,133,Male
S08000026,2018/2019,Count,P1 Reviews,119,Male
S08000026,2017/2018,Count,P1 Reviews,149,Male
S92000003,2013/2014,Count,P1 Reviews,28022,Male
S08000026,2015/2016,Count,P1 Reviews,150,Male
S08000026,2016/2017,Count,P1 Reviews,125,Male
S92000003,2017/2018,Count,P1 Reviews,27050,Male
S92000003,2016/2017,Count,P1 Reviews,26834,Male
S92000003,2018/2019,Count,P1 Reviews,22846,Male
S92000003,2014/2015,Count,P1 Reviews,27922,Male
S92000003,2015/2016,Count,P1 Reviews,27277,Male
S08000026,2008/2009,Count,P1 Reviews,121,Male
S08000017,2018/2019,Count,P1 Reviews,524,Male
S08000026,2009/2010,Count,P1 Reviews,134,Male
S08000017,2016/2017,Count,P1 Reviews,664,Male
S08000017,2017/2018,Count,P1 Reviews,685,Male
S08000026,2013/2014,Count,P1 Reviews,131,Male
S08000026,2012/2013,Count,P1 Reviews,127,Male
S08000026,2014/2015,Count,P1 Reviews,159,Male
S08000026,2010/2011,Count,P1 Reviews,123,Male
S08000026,2011/2012,Count,P1 Reviews,123,Male
S08000030,2013/2014,Count,P1 Reviews,2200,Male
S08000030,2012/2013,Count,P1 Reviews,2116,Male
S08000030,2014/2015,Count,P1 Reviews,2074,Male
S08000030,2010/2011,Count,P1 Reviews,2084,Male
S08000030,2011/2012,Count,P1 Reviews,2021,Male
S08000030,2018/2019,Count,P1 Reviews,1393,Male
S08000030,2017/2018,Count,P1 Reviews,2075,Male
S08000019,2005/2006,Count,P1 Reviews,1487,Male
S08000030,2015/2016,Count,P1 Reviews,2104,Male
S08000030,2016/2017,Count,P1 Reviews,2131,Male
S08000030,2003/2004,Count,P1 Reviews,2062,Male
S08000030,2002/2003,Count,P1 Reviews,2111,Male
S08000030,2004/2005,Count,P1 Reviews,1988,Male
S08000024,2017/2018,Count,P1 Reviews,4470,Male
S08000024,2018/2019,Count,P1 Reviews,4466,Male
S08000030,2008/2009,Count,P1 Reviews,2049,Male
S08000030,2007/2008,Count,P1 Reviews,1876,Male
S08000030,2009/2010,Count,P1 Reviews,1993,Male
S08000030,2005/2006,Count,P1 Reviews,1954,Male
S08000030,2006/2007,Count,P1 Reviews,2031,Male
S08000028,2003/2004,Count,P1 Reviews,77,Male
S08000019,2018/2019,Count,P1 Reviews,1514,Male
S08000028,2004/2005,Count,P1 Reviews,10,Male
S08000019,2016/2017,Count,P1 Reviews,1641,Male
S08000019,2017/2018,Count,P1 Reviews,1552,Male
S08000028,2008/2009,Count,P1 Reviews,123,Male
S08000028,2007/2008,Count,P1 Reviews,105,Male
S08000028,2009/2010,Count,P1 Reviews,101,Male
S08000028,2005/2006,Count,P1 Reviews,66,Male
S08000028,2006/2007,Count,P1 Reviews,131,Male
S08000019,2009/2010,Count,P1 Reviews,1570,Male
S08000019,2008/2009,Count,P1 Reviews,1557,Male
S08000019,2010/2011,Count,P1 Reviews,1620,Male
S08000019,2006/2007,Count,P1 Reviews,1464,Male
S08000019,2007/2008,Count,P1 Reviews,1361,Male
S08000019,2014/2015,Count,P1 Reviews,1689,Male
S08000019,2013/2014,Count,P1 Reviews,1643,Male
S08000019,2015/2016,Count,P1 Reviews,1611,Male
S08000019,2011/2012,Count,P1 Reviews,1651,Male
S08000019,2012/2013,Count,P1 Reviews,1674,Male
S08000016,2003/2004,Count,P1 Reviews,528,Male
S92000003,2009/2010,Count,P1 Reviews,23451,Male
S08000029,2007/2008,Count,P1 Reviews,1852,Male
S92000003,2007/2008,Count,P1 Reviews,14342,Male
S92000003,2008/2009,Count,P1 Reviews,17467,Male
S92000003,2012/2013,Count,P1 Reviews,27641,Male
S08000016,2016/2017,Count,P1 Reviews,572,Male
S08000029,2006/2007,Count,P1 Reviews,1672,Male
S92000003,2010/2011,Count,P1 Reviews,21033,Male
S92000003,2011/2012,Count,P1 Reviews,26803,Male
S08000016,2015/2016,Count,P1 Reviews,562,Male
S92000003,2002/2003,Count,P1 Reviews,7904,Male
S92000003,2003/2004,Count,P1 Reviews,8420,Male
S92000003,2001/2002,Count,P1 Reviews,6133,Male
S08000029,2009/2010,Count,P1 Reviews,1933,Male
S08000029,2008/2009,Count,P1 Reviews,1572,Male
S92000003,2005/2006,Count,P1 Reviews,13062,Male
S92000003,2006/2007,Count,P1 Reviews,12699,Male
S92000003,2004/2005,Count,P1 Reviews,11555,Male
S08000016,2004/2005,Count,P1 Reviews,562,Male
S08000029,2003/2004,Count,P1 Reviews,1685,Male
S08000015,2016/2017,Count,P1 Reviews,1974,Male
S08000015,2012/2013,Count,P1 Reviews,1957,Male
S08000016,2018/2019,Count,P1 Reviews,494,Male
S08000015,2011/2012,Count,P1 Reviews,1916,Male
S08000029,2002/2003,Count,P1 Reviews,1667,Male
S08000015,2013/2014,Count,P1 Reviews,1961,Male
S08000015,2014/2015,Count,P1 Reviews,1905,Male
S08000015,2015/2016,Count,P1 Reviews,1895,Male
S08000029,2001/2002,Count,P1 Reviews,1853,Male
S08000016,2017/2018,Count,P1 Reviews,557,Male
S08000015,2008/2009,Count,P1 Reviews,1710,Male
S08000029,2005/2006,Count,P1 Reviews,1882,Male
S08000015,2007/2008,Count,P1 Reviews,1609,Male
S08000016,2001/2002,Count,P1 Reviews,411,Male
S08000015,2010/2011,Count,P1 Reviews,1790,Male
S08000015,2017/2018,Count,P1 Reviews,1807,Male
S08000029,2004/2005,Count,P1 Reviews,1858,Male
S08000015,2018/2019,Count,P1 Reviews,1320,Male
S08000015,2009/2010,Count,P1 Reviews,1719,Male
S08000016,2008/2009,Count,P1 Reviews,547,Male
S08000016,2006/2007,Count,P1 Reviews,548,Male
S08000016,2012/2013,Count,P1 Reviews,562,Male
S08000016,2009/2010,Count,P1 Reviews,582,Male
S08000016,2014/2015,Count,P1 Reviews,564,Male
S08000029,2011/2012,Count,P1 Reviews,1959,Male
S08000016,2007/2008,Count,P1 Reviews,553,Male
S08000016,2013/2014,Count,P1 Reviews,548,Male
S08000016,2010/2011,Count,P1 Reviews,556,Male
S08000029,2013/2014,Count,P1 Reviews,2051,Male
S08000016,2005/2006,Count,P1 Reviews,600,Male
S08000016,2011/2012,Count,P1 Reviews,592,Male
S08000029,2012/2013,Count,P1 Reviews,2057,Male
S08000029,2010/2011,Count,P1 Reviews,1884,Male
S08000030,2013/2014,Count,P1 Reviews,2130,Female
S08000015,2017/2018,Count,P1 Reviews,1694,Female
S08000030,2011/2012,Count,P1 Reviews,1935,Female
S08000016,2009/2010,Count,P1 Reviews,560,Female
S08000030,2015/2016,Count,P1 Reviews,1990,Female
S08000024,2002/2003,Count,P1 Reviews,877,Female
S08000030,2012/2013,Count,P1 Reviews,2059,Female
S08000024,2004/2005,Count,P1 Reviews,3467,Female
S08000015,2018/2019,Count,P1 Reviews,1261,Female
S08000030,2014/2015,Count,P1 Reviews,2063,Female
S08000024,2003/2004,Count,P1 Reviews,812,Female
S08000016,2011/2012,Count,P1 Reviews,540,Female
S08000019,2006/2007,Count,P1 Reviews,1344,Female
S08000025,2018/2019,Count,P1 Reviews,88,Female
S08000025,2017/2018,Count,P1 Reviews,78,Female
S08000019,2008/2009,Count,P1 Reviews,1514,Female
S08000025,2016/2017,Count,P1 Reviews,98,Female
S08000015,2015/2016,Count,P1 Reviews,1929,Female
S08000019,2007/2008,Count,P1 Reviews,1255,Female
S08000024,2001/2002,Count,P1 Reviews,979,Female
S08000030,2017/2018,Count,P1 Reviews,1954,Female
S08000016,2010/2011,Count,P1 Reviews,520,Female
S08000030,2016/2017,Count,P1 Reviews,2119,Female
S08000030,2018/2019,Count,P1 Reviews,1334,Female
S08000019,2005/2006,Count,P1 Reviews,1464,Female
S08000015,2016/2017,Count,P1 Reviews,1870,Female
S08000016,2004/2005,Count,P1 Reviews,572,Female
S08000024,2012/2013,Count,P1 Reviews,4240,Female
S08000024,2013/2014,Count,P1 Reviews,4258,Female
S08000030,2002/2003,Count,P1 Reviews,2033,Female
S08000030,2004/2005,Count,P1 Reviews,1880,Female
S08000016,2007/2008,Count,P1 Reviews,518,Female
S08000030,2003/2004,Count,P1 Reviews,1966,Female
S08000024,2011/2012,Count,P1 Reviews,3975,Female
S08000024,2016/2017,Count,P1 Reviews,3984,Female
S08000024,2015/2016,Count,P1 Reviews,4322,Female
S08000016,2005/2006,Count,P1 Reviews,520,Female
S08000024,2017/2018,Count,P1 Reviews,4337,Female
S08000024,2018/2019,Count,P1 Reviews,4301,Female
S08000016,2006/2007,Count,P1 Reviews,556,Female
S08000024,2014/2015,Count,P1 Reviews,4320,Female
S08000030,2008/2009,Count,P1 Reviews,1901,Female
S08000016,2001/2002,Count,P1 Reviews,418,Female
S08000016,2008/2009,Count,P1 Reviews,516,Female
S08000024,2007/2008,Count,P1 Reviews,2411,Female
S08000030,2010/2011,Count,P1 Reviews,1942,Female
S08000024,2005/2006,Count,P1 Reviews,3429,Female
S08000030,2009/2010,Count,P1 Reviews,1894,Female
S08000024,2006/2007,Count,P1 Reviews,2587,Female
S08000024,2009/2010,Count,P1 Reviews,3493,Female
S08000024,2008/2009,Count,P1 Reviews,3484,Female
S08000024,2010/2011,Count,P1 Reviews,3729,Female
S08000030,2005/2006,Count,P1 Reviews,1864,Female
S08000030,2006/2007,Count,P1 Reviews,1935,Female
S08000030,2007/2008,Count,P1 Reviews,1804,Female
S08000016,2003/2004,Count,P1 Reviews,491,Female
S08000017,2017/2018,Count,P1 Reviews,674,Female
S92000003,2008/2009,Count,P1 Reviews,16812,Female
S92000003,2007/2008,Count,P1 Reviews,13723,Female
S92000003,2009/2010,Count,P1 Reviews,22396,Female
S08000017,2016/2017,Count,P1 Reviews,652,Female
S92000003,2005/2006,Count,P1 Reviews,12620,Female
S08000026,2008/2009,Count,P1 Reviews,114,Female
S08000026,2009/2010,Count,P1 Reviews,103,Female
S08000017,2018/2019,Count,P1 Reviews,475,Female
S92000003,2006/2007,Count,P1 Reviews,12321,Female
S08000017,2012/2013,Count,P1 Reviews,718,Female
S08000017,2011/2012,Count,P1 Reviews,700,Female
S92000003,2012/2013,Count,P1 Reviews,26766,Female
S08000017,2009/2010,Count,P1 Reviews,728,Female
S08000017,2010/2011,Count,P1 Reviews,682,Female
S92000003,2010/2011,Count,P1 Reviews,20085,Female
S08000017,2014/2015,Count,P1 Reviews,681,Female
S08000017,2015/2016,Count,P1 Reviews,692,Female
S08000017,2013/2014,Count,P1 Reviews,633,Female
S92000003,2011/2012,Count,P1 Reviews,25640,Female
S08000026,2018/2019,Count,P1 Reviews,108,Female
S08000026,2017/2018,Count,P1 Reviews,124,Female
S92000003,2013/2014,Count,P1 Reviews,26991,Female
S08000026,2015/2016,Count,P1 Reviews,123,Female
S08000026,2016/2017,Count,P1 Reviews,128,Female
S92000003,2017/2018,Count,P1 Reviews,25870,Female
S92000003,2016/2017,Count,P1 Reviews,25701,Female
S92000003,2018/2019,Count,P1 Reviews,21936,Female
S92000003,2014/2015,Count,P1 Reviews,27042,Female
S92000003,2015/2016,Count,P1 Reviews,26440,Female
S08000026,2011/2012,Count,P1 Reviews,148,Female
S92000003,2003/2004,Count,P1 Reviews,8234,Female
S92000003,2002/2003,Count,P1 Reviews,7642,Female
S92000003,2004/2005,Count,P1 Reviews,11049,Female
S08000026,2010/2011,Count,P1 Reviews,117,Female
S08000026,2013/2014,Count,P1 Reviews,129,Female
S08000026,2014/2015,Count,P1 Reviews,128,Female
S08000026,2012/2013,Count,P1 Reviews,105,Female
S92000003,2001/2002,Count,P1 Reviews,6106,Female
S08000015,2011/2012,Count,P1 Reviews,1799,Female
S08000019,2018/2019,Count,P1 Reviews,1412,Female
S08000028,2003/2004,Count,P1 Reviews,102,Female
S08000019,2016/2017,Count,P1 Reviews,1568,Female
S08000019,2017/2018,Count,P1 Reviews,1417,Female
S08000028,2006/2007,Count,P1 Reviews,147,Female
S08000015,2010/2011,Count,P1 Reviews,1740,Female
S08000028,2007/2008,Count,P1 Reviews,131,Female
S08000028,2004/2005,Count,P1 Reviews,12,Female
S08000028,2005/2006,Count,P1 Reviews,59,Female
S08000019,2011/2012,Count,P1 Reviews,1496,Female
